unit_id,qid,exam_id_canonical,num,type,subq,grain,归属_B2,admission,evidence,downgrade_notes,script_tier,rule_version
BJ-2023-CY-YIMO-Q19#2,BJ-2023-CY-YIMO-Q19,BJ-2023-CY-YIMO,19,主观题,2,小问,MAYBE,不收-无E1,缺细则,,倾向,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q20#1,BJ-2023-CY-YIMO-Q20,BJ-2023-CY-YIMO,20,主观题,1,小问,IN,不收-无E1,缺细则,,倾向,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q20#2,BJ-2023-CY-YIMO-Q20,BJ-2023-CY-YIMO,20,主观题,2,小问,MAYBE,不收-无E1,缺细则,,不明,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q21,BJ-2023-CY-YIMO-Q21,BJ-2023-CY-YIMO,21,主观题,,整题,MAYBE,不收-无E1,缺细则,,不明,2026-09-24-attribution-v1
BJ-2024-CY-YIMO-Q1,BJ-2024-CY-YIMO-Q1,BJ-2024-CY-YIMO,1,选择题,,整题,MAYBE,完整题-选择题照收,E1,,倾向,2026-09-24-attribution-v1
BJ-2024-CY-YIMO-Q3,BJ-2024-CY-YIMO-Q3,BJ-2024-CY-YIMO,3,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-YIMO-Q4,BJ-2024-CY-YIMO-Q4,BJ-2024-CY-YIMO,4,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-YIMO-Q5,BJ-2024-CY-YIMO-Q5,BJ-2024-CY-YIMO,5,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-YIMO-Q6,BJ-2024-CY-YIMO-Q6,BJ-2024-CY-YIMO,6,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-YIMO-Q7,BJ-2024-CY-YIMO-Q7,BJ-2024-CY-YIMO,7,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-YIMO-Q8,BJ-2024-CY-YIMO-Q8,BJ-2024-CY-YIMO,8,选择题,,整题,MAYBE,完整题-选择题照收,E1,,倾向,2026-09-24-attribution-v1
BJ-2024-CY-YIMO-Q9,BJ-2024-CY-YIMO-Q9,BJ-2024-CY-YIMO,9,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-YIMO-Q10,BJ-2024-CY-YIMO-Q10,BJ-2024-CY-YIMO,10,选择题,,整题,MAYBE,完整题-选择题照收,E1,,倾向,2026-09-24-attribution-v1
BJ-2024-CY-YIMO-Q11,BJ-2024-CY-YIMO-Q11,BJ-2024-CY-YIMO,11,选择题,,整题,MAYBE,完整题-选择题照收,E1,,倾向,2026-09-24-attribution-v1
BJ-2024-CY-YIMO-Q12,BJ-2024-CY-YIMO-Q12,BJ-2024-CY-YIMO,12,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-YIMO-Q15,BJ-2024-CY-YIMO-Q15,BJ-2024-CY-YIMO,15,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-YIMO-Q16,BJ-2024-CY-YIMO-Q16,BJ-2024-CY-YIMO,16,主观题,,整题,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-YIMO-Q18#1,BJ-2024-CY-YIMO-Q18,BJ-2024-CY-YIMO,18,主观题,1,小问,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-YIMO-Q18#2,BJ-2024-CY-YIMO-Q18,BJ-2024-CY-YIMO,18,主观题,2,小问,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q3,BJ-2023-DC-ERMO-Q3,BJ-2023-DC-ERMO,3,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q4,BJ-2023-DC-ERMO-Q4,BJ-2023-DC-ERMO,4,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q5,BJ-2023-DC-ERMO-Q5,BJ-2023-DC-ERMO,5,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q8,BJ-2023-DC-ERMO-Q8,BJ-2023-DC-ERMO,8,选择题,,整题,MAYBE,完整题-选择题照收,E1,,倾向,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q9,BJ-2023-DC-ERMO-Q9,BJ-2023-DC-ERMO,9,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q10,BJ-2023-DC-ERMO-Q10,BJ-2023-DC-ERMO,10,选择题,,整题,MAYBE,完整题-选择题照收,E1,,倾向,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q13,BJ-2023-DC-ERMO-Q13,BJ-2023-DC-ERMO,13,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q14,BJ-2023-DC-ERMO-Q14,BJ-2023-DC-ERMO,14,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
