unit_id,qid,exam_id_raw,exam_id_canonical,num,type,subq,grain,content_fingerprint,script_tier,归属_B1,归属_B2,归属_B3,归属_PH,归属_CU,归属_X1,归属_X2,归属_MI,归属_RE,admission,evidence,downgrade_notes,dup_of,dup_covered_by,conflict_script_out,rule_version,source,ruled
BJ-2024-CY-QIZHONG-Q20#3,BJ-2024-CY-QIZHONG-Q20,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,20,主观题,3,小问,afa8bc58c88ae798,倾向,OUT,COLLECTED,MAYBE,OUT,OUT,COLLECTED,MAYBE,OUT,MAYBE,完整题-有E1,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2025-CY-ERMO-Q1,BJ-2025-CY-ERMO-Q1,BJ-2025-CY-ERMO,BJ-2025-CY-ERMO,1,选择题,,整题,d2c588c3449e77e1,倾向,MAYBE,COLLECTED,IN,COLLECTED,COLLECTED,MAYBE,OUT,OUT,OUT,完整题-选择题照收,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2025-CY-ERMO-Q2,BJ-2025-CY-ERMO-Q2,BJ-2025-CY-ERMO,BJ-2025-CY-ERMO,2,选择题,,整题,af51a3a15dd02de4,不明,OUT,MAYBE,MAYBE,COLLECTED,MAYBE,OUT,OUT,OUT,MAYBE,完整题-选择题照收,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2025-CY-ERMO-Q3,BJ-2025-CY-ERMO-Q3,BJ-2025-CY-ERMO,BJ-2025-CY-ERMO,3,选择题,,整题,8ab439c3de0024fd,不明,OUT,MAYBE,MAYBE,COLLECTED,COLLECTED,OUT,OUT,MAYBE,MAYBE,完整题-选择题照收,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2025-CY-ERMO-Q4,BJ-2025-CY-ERMO-Q4,BJ-2025-CY-ERMO,BJ-2025-CY-ERMO,4,选择题,,整题,fce13b0c63e98f1a,不明,OUT,MAYBE,MAYBE,COLLECTED,COLLECTED,MAYBE,OUT,MAYBE,MAYBE,完整题-选择题照收,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2025-CY-ERMO-Q5,BJ-2025-CY-ERMO-Q5,BJ-2025-CY-ERMO,BJ-2025-CY-ERMO,5,选择题,,整题,45c6e5eb712a7b91,不明,OUT,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,OUT,MAYBE,COLLECTED,完整题-选择题照收,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2025-CY-ERMO-Q6,BJ-2025-CY-ERMO-Q6,BJ-2025-CY-ERMO,BJ-2025-CY-ERMO,6,选择题,,整题,9e136fbec3fe52ff,不明,OUT,MAYBE,MAYBE,MAYBE,MAYBE,OUT,OUT,MAYBE,COLLECTED,完整题-选择题照收,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2025-CY-ERMO-Q7,BJ-2025-CY-ERMO-Q7,BJ-2025-CY-ERMO,BJ-2025-CY-ERMO,7,选择题,,整题,71a080ff2d9a33a2,不明,OUT,MAYBE,MAYBE,COLLECTED,MAYBE,MAYBE,OUT,COLLECTED,COLLECTED,完整题-选择题照收,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2025-CY-ERMO-Q8,BJ-2025-CY-ERMO-Q8,BJ-2025-CY-ERMO,BJ-2025-CY-ERMO,8,选择题,,整题,a72cd0bb8eebaac7,倾向,MAYBE,MAYBE,COLLECTED,MAYBE,OUT,OUT,OUT,OUT,OUT,完整题-选择题照收,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2025-CY-ERMO-Q9,BJ-2025-CY-ERMO-Q9,BJ-2025-CY-ERMO,BJ-2025-CY-ERMO,9,选择题,,整题,dd853548b399c62a,不明,OUT,MAYBE,COLLECTED,IN,MAYBE,MAYBE,MAYBE,OUT,OUT,完整题-选择题照收,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2025-CY-ERMO-Q10,BJ-2025-CY-ERMO-Q10,BJ-2025-CY-ERMO,BJ-2025-CY-ERMO,10,选择题,,整题,6155e0b7af70848b,倾向,OUT,MAYBE,MAYBE,OUT,OUT,OUT,COLLECTED,OUT,OUT,完整题-选择题照收,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
